,Amenities,Area (m²),Bathrooms,Bedrooms,Furnished,Level,Location,Payment Option,Price,Type,Down Payment,Compound
0,"Balcony
Covered Parking
Pets Allowed
Security
Electricity Meter
Water Meter
Natural Gas
Landline",135,2,3,No,2,Sadat، Monufia,Cash or Installment,513000,Apartment,,
1,"Balcony
Covered Parking
Security
Pool
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",97,2,1,,2,Sheikh Zayed، Giza,Installment,1950000,Apartment,"1,265,000",
2,"Balcony
Built in Kitchen Appliances
Central A/C & heating
Covered Parking
Maids Room
Pets Allowed
Private Garden
Security
Pool
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",175,3,4,,Ground,Shorouk City، Cairo,,3500000,Duplex,175,
3,"Balcony
Built in Kitchen Appliances
Central A/C & heating
Covered Parking
Pets Allowed
Security
Pool
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",85,2,2,,9,New Capital City، Cairo,Cash or Installment,1850000,Duplex,"185,000",
4,,300,3,3,No,3,Shorouk City، Cairo,Cash or Installment,2500000,Penthouse,,Granda
5,"Balcony
Covered Parking
Pets Allowed
Security
Pool",190,3,4,No,3,New Capital City، Cairo,Cash or Installment,2100000,Apartment,,
6,"Balcony
Covered Parking
Pets Allowed
Security
Landline",160,2,3,No,2,New Cairo - El Tagamoa، Cairo,Cash or Installment,3100000,Apartment,,Fifth Square
7,"Balcony
Covered Parking
Pets Allowed
Security
Pool",198,3,3,No,1,New Capital City، Cairo,Cash or Installment,1835000,Apartment,,
8,"Balcony
Landline
Natural Gas
Water Meter
Electricity Meter
Pets Allowed
Maids Room
Covered Parking
Security
Central A/C & heating
Private Garden
Built in Kitchen Appliances",380,4,6,No,1,New Cairo - El Tagamoa، Cairo,Cash,3750000,Duplex,"3,800,000",
9,,120,2,2,,3,New Capital City، Cairo,Installment,1656000,Apartment,,
10,"Balcony
Built in Kitchen Appliances
Private Garden
Security
Pets Allowed",167,3,3,No,Ground,New Cairo - El Tagamoa، Cairo,Cash or Installment,2002800,Apartment,"2,002,800",Hyde Park New Cairo
11,"Balcony
Covered Parking
Pets Allowed
Security
Pool
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",146,2,3,No,2,Nasr City، Cairo,Cash or Installment,1801948,Apartment,,
12,,162,2,3,,2,New Cairo - El Tagamoa، Cairo,Installment,1150000,Apartment,"230,000",
13,"Balcony
Built in Kitchen Appliances
Central A/C & heating
Covered Parking
Pets Allowed
Security
Pool
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",123,2,2,No,3,Sheikh Zayed، Giza,Installment,2500000,Apartment,,
14,"Balcony
Security
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",186,2,3,,2,Roushdy، Alexandria,Cash,2300000,Apartment,,
15,"Balcony
Central A/C & heating
Covered Parking
Maids Room
Pets Allowed
Private Garden
Security
Pool
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",120,1,3,,1,New Capital City، Cairo,Installment,1590000,Apartment,,
16,"Balcony
Security
Pets Allowed
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",135,1,3,No,3,Madinaty، Cairo,Cash,1599000,Apartment,,Madinaty
17,,135,2,3,,3,Hadayek al-Ahram، Giza,Cash,570000,Apartment,,
18,"Balcony
Covered Parking
Electricity Meter
Water Meter
Natural Gas
Landline
Elevator",172,2,3,No,1,Shorouk City، Cairo,Cash or Installment,991875,Apartment,"494,500",
